metric, step, value
env2_out_demographic_parity, 2001, 0.44171780347824097
env2_out_demographic_parity, 2501, 0.870726466178894
env2_out_demographic_parity, 3001, 0.6625766754150391
env2_out_demographic_parity, 3501, 0.8834356069564819
env2_out_demographic_parity, 4001, 0.0
env2_out_demographic_parity, 4501, 0.0
env2_out_demographic_parity, 5001, 0.0
env2_out_demographic_parity, 5501, 0.0
env2_out_demographic_parity, 6001, 0.0
env2_out_demographic_parity, 6501, 0.0
env2_out_demographic_parity, 7001, 0.0
env2_out_demographic_parity, 7501, 0.0
env2_out_demographic_parity, 8001, 0.0
env2_out_equalized_odds, 1, 0.0
env2_out_equalized_odds, 501, 0.0
env2_out_equalized_odds, 1001, 0.0
env2_out_equalized_odds, 1501, 0.9411764740943909
env2_out_equalized_odds, 2001, 0.0
env2_out_equalized_odds, 2501, 0.9411764740943909
env2_out_equalized_odds, 3001, 0.9411764740943909
env2_out_equalized_odds, 3501, 0.0
env2_out_equalized_odds, 4001, 0.0
env2_out_equalized_odds, 4501, 0.0
env2_out_equalized_odds, 5001, 0.0
env2_out_equalized_odds, 5501, 0.0
env2_out_equalized_odds, 6001, 0.0
env2_out_equalized_odds, 6501, 0.0
env2_out_equalized_odds, 7001, 0.0
env2_out_equalized_odds, 7501, 0.0
env2_out_equalized_odds, 8001, 0.0
env2_out_auc_score, 1, 0.5113752484321594
env2_out_auc_score, 501, 0.5118486285209656
env2_out_auc_score, 1001, 0.5039290189743042
env2_out_auc_score, 1501, 0.52644282579422
env2_out_auc_score, 2001, 0.5302488207817078
env2_out_auc_score, 2501, 0.5352760553359985
env2_out_auc_score, 3001, 0.5217942595481873
env2_out_auc_score, 3501, 0.5271576642990112
env2_out_auc_score, 4001, 0.5264617800712585
env2_out_auc_score, 4501, 0.5235078930854797
env2_out_auc_score, 5001, 0.5222439765930176
env2_out_auc_score, 5501, 0.522584855556488
env2_out_auc_score, 6001, 0.5228972434997559
env2_out_auc_score, 6501, 0.5231481194496155
env2_out_auc_score, 7001, 0.5234510898590088
env2_out_auc_score, 7501, 0.5236262679100037
env2_out_auc_score, 8001, 0.5238345265388489
